FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3323583,3323583,POINT (16.292664590668124 48.21474387078255),
HYDRANTOGD.3323584,3323584,POINT (16.339131776428616 48.243206594571426),
HYDRANTOGD.3323585,3323585,POINT (16.241653811983966 48.2074041023791),
HYDRANTOGD.3323586,3323586,POINT (16.38850176992421 48.21037561747121),
HYDRANTOGD.3323587,3323587,POINT (16.39233654956247 48.15815883836609),
HYDRANTOGD.3323588,3323588,POINT (16.35860885977702 48.18723878160389),
HYDRANTOGD.3323589,3323589,POINT (16.362403681239645 48.22884005298546),
HYDRANTOGD.3323590,3323590,POINT (16.531180294859098 48.22256080123488),
HYDRANTOGD.3323591,3323591,POINT (16.227332201240518 48.207938866104605),
HYDRANTOGD.3323592,3323592,POINT (16.515051262907846 48.2034154853179),
HYDRANTOGD.3323593,3323593,POINT (16.357147452648 48.200548454773525),
HYDRANTOGD.3323594,3323594,POINT (16.528560973442826 48.212556091320934),
HYDRANTOGD.3323595,3323595,POINT (16.358680233188686 48.25766101250646),
HYDRANTOGD.3323596,3323596,POINT (16.471797096171482 48.19995455287673),
HYDRANTOGD.3323597,3323597,POINT (16.450545390307905 48.24045306110648),
HYDRANTOGD.3323598,3323598,POINT (16.289118587667513 48.14158664173569),
HYDRANTOGD.3323599,3323599,POINT (16.396438961109027 48.199491590356075),
HYDRANTOGD.3323600,3323600,POINT (16.348313116832085 48.181809158784496),
HYDRANTOGD.3323601,3323601,POINT (16.391508080133864 48.20907217478657),
HYDRANTOGD.3323602,3323602,POINT (16.42126744365552 48.28441242500557),
HYDRANTOGD.3323603,3323603,POINT (16.39631304409542 48.14934216577045),
HYDRANTOGD.3323604,3323604,POINT (16.357305431914178 48.25494913709975),
HYDRANTOGD.3323605,3323605,POINT (16.234519403610502 48.21043358037513),
HYDRANTOGD.3323606,3323606,POINT (16.26583722801813 48.186465200842235),
HYDRANTOGD.3323607,3323607,POINT (16.260822277811297 48.179602640456125),
HYDRANTOGD.3323608,3323608,POINT (16.305663319973775 48.22244816554219),
HYDRANTOGD.3323609,3323609,POINT (16.414933122110444 48.25731269350864),
HYDRANTOGD.3323610,3323610,POINT (16.337865011430672 48.1522857952097),
HYDRANTOGD.3323611,3323611,POINT (16.34037539012592 48.2542134958337),
HYDRANTOGD.3323612,3323612,POINT (16.393357652893776 48.25316661839785),
HYDRANTOGD.3323613,3323613,POINT (16.45384820917097 48.28311987258825),
HYDRANTOGD.3323614,3323614,POINT (16.396244490861363 48.253592945504955),
HYDRANTOGD.3323615,3323615,POINT (16.334360375589725 48.199878406691134),
HYDRANTOGD.3323616,3323616,POINT (16.374204543067552 48.22177702972079),
HYDRANTOGD.3323617,3323617,POINT (16.274647209494148 48.15750861107593),
HYDRANTOGD.3323618,3323618,POINT (16.380988549209373 48.13889630212094),
HYDRANTOGD.3323619,3323619,POINT (16.410654725814037 48.25412975112061),
HYDRANTOGD.3323620,3323620,POINT (16.368119743438733 48.21477555348868),
HYDRANTOGD.3323621,3323621,POINT (16.389077078223952 48.22390412880321),
HYDRANTOGD.3323622,3323622,POINT (16.34202966656044 48.24952385737412),
HYDRANTOGD.3323623,3323623,POINT (16.311948890048505 48.21708136853775),
HYDRANTOGD.3323624,3323624,POINT (16.33111817212116 48.242846445487515),
HYDRANTOGD.3323625,3323625,POINT (16.385320600897035 48.18987524962659),
HYDRANTOGD.3323626,3323626,POINT (16.388728500665184 48.170626086847086),
HYDRANTOGD.3323627,3323627,POINT (16.39184010009269 48.21213259796339),
HYDRANTOGD.3323628,3323628,POINT (16.465957095364416 48.157819613480974),
HYDRANTOGD.3323629,3323629,POINT (16.424012767714583 48.263331759630425),
HYDRANTOGD.3323630,3323630,POINT (16.409124407413692 48.19267358948203),
HYDRANTOGD.3323631,3323631,POINT (16.26160458416578 48.163807817697766),
HYDRANTOGD.3323632,3323632,POINT (16.28359269179555 48.18192946744599),
HYDRANTOGD.3323633,3323633,POINT (16.340780109410293 48.183190623925725),
HYDRANTOGD.3323634,3323634,POINT (16.430094572063428 48.17028294645933),
HYDRANTOGD.3323635,3323635,POINT (16.293136296394497 48.14925282165801),
HYDRANTOGD.3323636,3323636,POINT (16.41292368711919 48.172957709091996),
HYDRANTOGD.3323637,3323637,POINT (16.33269385967854 48.18031122873041),
HYDRANTOGD.3323638,3323638,POINT (16.38086402204137 48.151764180005614),
HYDRANTOGD.3323639,3323639,POINT (16.446665558777926 48.23359337162128),
HYDRANTOGD.3323640,3323640,POINT (16.375705245884845 48.21812970614158),
HYDRANTOGD.3323641,3323641,POINT (16.29286722110291 48.20852444911249),
HYDRANTOGD.3323642,3323642,POINT (16.275017769151972 48.18765475757013),
HYDRANTOGD.3323643,3323643,POINT (16.340366584148622 48.2609443635002),
HYDRANTOGD.3323644,3323644,POINT (16.303095974328738 48.23326111442794),
HYDRANTOGD.3323645,3323645,POINT (16.38804957208451 48.271179160773265),
HYDRANTOGD.3323646,3323646,POINT (16.365666834601264 48.175566598592795),
HYDRANTOGD.3323647,3323647,POINT (16.390927787770586 48.27528270974615),
HYDRANTOGD.3323648,3323648,POINT (16.451653635479342 48.21055143208106),
HYDRANTOGD.3323649,3323649,POINT (16.36780513384488 48.216138814976674),
HYDRANTOGD.3323650,3323650,POINT (16.312250356633648 48.24773029168707),
HYDRANTOGD.3323651,3323651,POINT (16.272003745782406 48.18914131406858),
HYDRANTOGD.3323652,3323652,POINT (16.39183445650044 48.1903322759246),
HYDRANTOGD.3323653,3323653,POINT (16.49004243851916 48.22005367012195),
HYDRANTOGD.3323654,3323654,POINT (16.28925557840522 48.22217906891627),
HYDRANTOGD.3323655,3323655,POINT (16.299207285543517 48.20600856565022),
HYDRANTOGD.3323656,3323656,POINT (16.383623952879088 48.25944469017593),
HYDRANTOGD.3323657,3323657,POINT (16.34879824078348 48.13815055096566),
HYDRANTOGD.3323658,3323658,POINT (16.463923527185383 48.266631217544905),
HYDRANTOGD.3323659,3323659,POINT (16.477867788500358 48.239828328190214),
HYDRANTOGD.3323660,3323660,POINT (16.37657568028381 48.20310192682711),
HYDRANTOGD.3323661,3323661,POINT (16.364320224519663 48.20367195727075),
HYDRANTOGD.3323662,3323662,POINT (16.340082609004586 48.21305406640233),
HYDRANTOGD.3323663,3323663,POINT (16.44291681899866 48.259003825979484),
HYDRANTOGD.3323664,3323664,POINT (16.40750720363152 48.17452728494831),
HYDRANTOGD.3323665,3323665,POINT (16.355697433858243 48.241024844220966),
HYDRANTOGD.3323666,3323666,POINT (16.38699004067785 48.27471678879986),
